"DateTime","Players","Average Players","Markers"
"2022-11-07 00:00:00",1368,1001,
"2022-11-08 00:00:00",1288,938,
"2022-11-09 00:00:00",1247,882,
"2022-11-10 00:00:00",1166,846,
"2022-11-11 00:00:00",1259,874,
"2022-11-12 00:00:00",1466,1082,
"2022-11-13 00:00:00",1502,1152,
"2022-11-14 00:00:00",1158,848,
"2022-11-15 00:00:00",1080,772,
"2022-11-16 00:00:00",1038,748,
"2022-11-17 00:00:00",941,706,
"2022-11-18 00:00:00",1037,726,
"2022-11-19 00:00:00",1249,908,
"2022-11-20 00:00:00",1308,989,
"2022-11-21 00:00:00",1023,752,
"2022-11-22 00:00:00",1014,739,
"2022-11-23 00:00:00",1139,815,
"2022-11-24 00:00:00",2213,1301,
"2022-11-25 00:00:00",2842,2134,
"2022-11-26 00:00:00",3360,2588,
"2022-11-27 00:00:00",3388,2649,
"2022-11-28 00:00:00",2739,2038,
"2022-11-29 00:00:00",2628,1882,
"2022-11-30 00:00:00",2482,1760,
"2022-12-01 00:00:00",2260,1611,
"2022-12-02 00:00:00",2296,1650,
"2022-12-03 00:00:00",2789,2100,
"2022-12-04 00:00:00",3052,2255,
"2022-12-05 00:00:00",2346,1677,
"2022-12-06 00:00:00",2666,1730,
"2022-12-07 00:00:00",1971,1358,
"2022-12-08 00:00:00",1841,1313,
"2022-12-09 00:00:00",1863,1295,
"2022-12-10 00:00:00",2199,1605,
"2022-12-11 00:00:00",2199,1711,
"2022-12-12 00:00:00",1834,1290,
"2022-12-13 00:00:00",1754,1230,
"2022-12-14 00:00:00",2917,1645,
"2022-12-15 00:00:00",2582,1931,
"2022-12-16 00:00:00",2333,1773,
"2022-12-17 00:00:00",2600,2023,
"2022-12-18 00:00:00",2537,1981,
"2022-12-19 00:00:00",1901,1495,
"2022-12-20 00:00:00",1770,1392,
"2022-12-21 00:00:00",1718,1345,
"2022-12-22 00:00:00",1606,1311,
"2022-12-23 00:00:00",1610,1366,
"2022-12-24 00:00:00",1906,1476,
"2022-12-25 00:00:00",2010,1567,
"2022-12-26 00:00:00",2137,1622,
"2022-12-27 00:00:00",2105,1620,
"2022-12-28 00:00:00",2164,1625,
"2022-12-29 00:00:00",2120,1587,
"2022-12-30 00:00:00",2205,1653,
"2022-12-31 00:00:00",2267,1739,
"2023-01-01 00:00:00",2453,1899,
"2023-01-02 00:00:00",2412,1945,
"2023-01-03 00:00:00",2285,1640,
"2023-01-04 00:00:00",2167,1582,
"2023-01-05 00:00:00",2115,1514,
"2023-01-06 00:00:00",2088,1522,
"2023-01-07 00:00:00",2403,1773,
"2023-01-08 00:00:00",2380,1797,
"2023-01-09 00:00:00",1809,1355,
"2023-01-10 00:00:00",1661,1246,
"2023-01-11 00:00:00",1583,1193,
"2023-01-12 00:00:00",1534,1154,
"2023-01-13 00:00:00",2395,1548,
"2023-01-14 00:00:00",2851,2058,
"2023-01-15 00:00:00",2875,2117,
"2023-01-16 00:00:00",2092,1663,
"2023-01-17 00:00:00",2288,1698,
"2023-01-18 00:00:00",2257,1696,
"2023-01-19 00:00:00",2290,1762,
"2023-01-20 00:00:00",1949,1614,
"2023-01-21 00:00:00",2386,1833,
"2023-01-22 00:00:00",2623,2029,
"2023-01-23 00:00:00",2056,1648,
"2023-01-24 00:00:00",2034,1567,
"2023-01-25 00:00:00",1945,1534,
"2023-01-26 00:00:00",1948,1509,
"2023-01-27 00:00:00",1871,1466,
"2023-01-28 00:00:00",2115,1574,
"2023-01-29 00:00:00",2122,1644,
"2023-01-30 00:00:00",1613,1250,
"2023-01-31 00:00:00",1569,1168,
"2023-02-01 00:00:00",1472,1100,
"2023-02-02 00:00:00",1397,1069,
"2023-02-03 00:00:00",1377,1040,
"2023-02-04 00:00:00",1752,1296,
"2023-02-05 00:00:00",1755,1362,
"2023-02-06 00:00:00",1269,1001,
"2023-02-07 00:00:00",1265,900,
"2023-02-08 00:00:00",1175,833,
"2023-02-09 00:00:00",1132,820,
"2023-02-10 00:00:00",1114,809,
"2023-02-11 00:00:00",1338,966,
"2023-02-12 00:00:00",1396,1025,
"2023-02-13 00:00:00",1058,769,
"2023-02-14 00:00:00",990,700,
"2023-02-15 00:00:00",1009,706,
"2023-02-16 00:00:00",997,705,
"2023-02-17 00:00:00",1037,720,
"2023-02-18 00:00:00",1223,882,
"2023-02-19 00:00:00",1232,944,
"2023-02-20 00:00:00",998,757,
"2023-02-21 00:00:00",947,705,
"2023-02-22 00:00:00",974,703,
"2023-02-23 00:00:00",893,677,
"2023-02-24 00:00:00",988,710,
"2023-02-25 00:00:00",1153,858,
"2023-02-26 00:00:00",1206,932,
"2023-02-27 00:00:00",924,699,
"2023-02-28 00:00:00",929,681,
"2023-03-01 00:00:00",862,643,
"2023-03-02 00:00:00",827,619,
"2023-03-03 00:00:00",875,658,
"2023-03-04 00:00:00",1113,830,
"2023-03-05 00:00:00",1172,908,
"2023-03-06 00:00:00",916,688,
"2023-03-07 00:00:00",900,666,
"2023-03-08 00:00:00",875,646,
"2023-03-09 00:00:00",843,638,
"2023-03-10 00:00:00",871,642,
"2023-03-11 00:00:00",1101,813,
"2023-03-12 00:00:00",1162,904,
"2023-03-13 00:00:00",907,684,
"2023-03-14 00:00:00",880,647,
"2023-03-15 00:00:00",850,626,
"2023-03-16 00:00:00",820,614,
"2023-03-17 00:00:00",900,654,
"2023-03-18 00:00:00",1163,854,
"2023-03-19 00:00:00",1294,960,
"2023-03-20 00:00:00",1032,746,
"2023-03-21 00:00:00",995,724,
"2023-03-22 00:00:00",1016,708,
"2023-03-23 00:00:00",1031,699,
"2023-03-24 00:00:00",1024,731,
"2023-03-25 00:00:00",1314,956,
"2023-03-26 00:00:00",1385,1041,
"2023-03-27 00:00:00",1096,784,
"2023-03-28 00:00:00",1015,747,
"2023-03-29 00:00:00",1029,745,
"2023-03-30 00:00:00",1053,739,
"2023-03-31 00:00:00",1038,756,
"2023-04-01 00:00:00",1244,938,
"2023-04-02 00:00:00",1350,1033,
"2023-04-03 00:00:00",1061,769,
"2023-04-04 00:00:00",1066,763,
"2023-04-05 00:00:00",1085,817,
"2023-04-06 00:00:00",1076,733,
"2023-04-07 00:00:00",1170,841,
"2023-04-08 00:00:00",1249,935,
"2023-04-09 00:00:00",1302,997,
"2023-04-10 00:00:00",1212,871,
"2023-04-11 00:00:00",1143,808,
"2023-04-12 00:00:00",3961,2564,
"2023-04-13 00:00:00",4143,3013,
"2023-04-14 00:00:00",4108,3007,
"2023-04-15 00:00:00",5055,3732,
"2023-04-16 00:00:00",5087,3951,
"2023-04-17 00:00:00",3912,2936,
"2023-04-18 00:00:00",3770,2735,
"2023-04-19 00:00:00",3477,2544,
"2023-04-20 00:00:00",3279,2394,
"2023-04-21 00:00:00",3299,2404,
"2023-04-22 00:00:00",3780,2896,
"2023-04-23 00:00:00",3956,2918,
"2023-04-24 00:00:00",2979,2212,
"2023-04-25 00:00:00",2808,2090,
"2023-04-26 00:00:00",2322,1745,
"2023-04-27 00:00:00",2280,1704,
"2023-04-28 00:00:00",2342,1772,
"2023-04-29 00:00:00",2784,2144,
"2023-04-30 00:00:00",2865,2260,
"2023-05-01 00:00:00",2687,2015,
"2023-05-02 00:00:00",2168,1672,
"2023-05-03 00:00:00",1980,1583,
"2023-05-04 00:00:00",1874,1404,
"2023-05-05 00:00:00",1926,1437,
"2023-05-06 00:00:00",2318,1681,
"2023-05-07 00:00:00",2487,1894,
"2023-05-08 00:00:00",1966,1411,
"2023-05-09 00:00:00",1790,1291,
"2023-05-10 00:00:00",1715,1247,
"2023-05-11 00:00:00",1605,1198,
"2023-05-12 00:00:00",1551,1161,
"2023-05-13 00:00:00",1883,1387,
"2023-05-14 00:00:00",1907,1470,
"2023-05-15 00:00:00",1454,1088,
"2023-05-16 00:00:00",1405,1035,
"2023-05-17 00:00:00",1370,1023,
"2023-05-18 00:00:00",1517,1063,
"2023-05-19 00:00:00",1466,1044,
"2023-05-20 00:00:00",1637,1272,
"2023-05-21 00:00:00",1860,1418,
"2023-05-22 00:00:00",1447,1073,
"2023-05-23 00:00:00",1359,1009,
"2023-05-24 00:00:00",1385,986,
"2023-05-25 00:00:00",1315,974,
"2023-05-26 00:00:00",1318,981,
"2023-05-27 00:00:00",1561,1202,
"2023-05-28 00:00:00",2061,1526,
"2023-05-29 00:00:00",1989,1446,
"2023-05-30 00:00:00",1590,1201,
"2023-05-31 00:00:00",1530,1141,
"2023-06-01 00:00:00",1524,1117,
"2023-06-02 00:00:00",1533,1118,
"2023-06-03 00:00:00",1856,1392,
"2023-06-04 00:00:00",1986,1533,
"2023-06-05 00:00:00",1651,1216,
"2023-06-06 00:00:00",1571,1124,
"2023-06-07 00:00:00",1398,1021,
"2023-06-08 00:00:00",1458,1055,
"2023-06-09 00:00:00",1459,1046,
"2023-06-10 00:00:00",1640,1233,
"2023-06-11 00:00:00",1710,1319,
"2023-06-12 00:00:00",1316,1020,
"2023-06-13 00:00:00",1254,924,
"2023-06-14 00:00:00",1196,882,
"2023-06-15 00:00:00",1186,857,
"2023-06-16 00:00:00",1198,883,
"2023-06-17 00:00:00",1433,1095,
"2023-06-18 00:00:00",1593,1191,
"2023-06-19 00:00:00",1234,933,
"2023-06-20 00:00:00",1111,841,
"2023-06-21 00:00:00",1126,816,
"2023-06-22 00:00:00",1201,874,
"2023-06-23 00:00:00",1116,866,
"2023-06-24 00:00:00",1224,966,
