time,sentiment_ratio,positive_count,negative_count,Players
2023-10-09,1.0,5.0,0.0,3019.0
2023-10-10,1.0,5.0,0.0,2733.0
2023-10-11,0.8333333333333334,5.0,1.0,2579.0
2023-10-12,0.8333333333333334,5.0,1.0,2584.0
2023-10-13,0.8888888888888888,8.0,1.0,2729.0
2023-10-14,0.75,3.0,1.0,3284.0
2023-10-15,0.8333333333333334,5.0,1.0,3497.0
2023-10-16,1.0,5.0,0.0,2742.0
2023-10-17,1.0,2.0,0.0,2566.0
2023-10-18,1.0,1.0,0.0,2477.0
2023-10-19,0.6666666666666666,2.0,1.0,2436.0
2023-10-20,1.0,6.0,0.0,2515.0
2023-10-21,1.0,4.0,0.0,3009.0
2023-10-22,0.75,3.0,1.0,3305.0
2023-10-23,0.8333333333333334,5.0,1.0,2437.0
2023-10-24,1.0,6.0,0.0,2332.0
2023-10-25,1.0,3.0,0.0,2263.0
2023-10-26,0.5,2.0,2.0,2257.0
2023-10-27,1.0,6.0,0.0,2237.0
2023-10-28,0.8333333333333334,5.0,1.0,2741.0
2023-10-29,0.8571428571428571,6.0,1.0,2875.0
2023-10-30,0.75,3.0,1.0,2176.0
2023-10-31,0.8333333333333334,10.0,2.0,1975.0
2023-11-01,1.0,17.0,0.0,2157.0
2023-11-02,0.8076923076923077,63.0,15.0,7446.0
2023-11-03,0.9024390243902439,74.0,8.0,11835.0
2023-11-04,0.8888888888888888,56.0,7.0,16806.0
2023-11-05,0.8166666666666667,49.0,11.0,19735.0
2023-11-06,0.8823529411764706,45.0,6.0,16388.0
2023-11-07,0.7560975609756098,31.0,10.0,15801.0
2023-11-08,0.9130434782608695,42.0,4.0,15199.0
2023-11-09,0.8714285714285714,61.0,9.0,15069.0
2023-11-10,0.7837837837837838,58.0,16.0,15092.0
2023-11-11,0.7794117647058824,53.0,15.0,18231.0
2023-11-12,0.8620689655172413,50.0,8.0,18838.0
2023-11-13,0.8529411764705882,29.0,5.0,14098.0
2023-11-14,0.9423076923076923,49.0,3.0,12878.0
2023-11-15,0.9767441860465116,42.0,1.0,11594.0
2023-11-16,0.8974358974358975,35.0,4.0,11028.0
2023-11-17,0.84,42.0,8.0,10875.0
2023-11-18,0.8421052631578947,32.0,6.0,13431.0
2023-11-19,0.9,27.0,3.0,13708.0
2023-11-20,1.0,27.0,0.0,10102.0
2023-11-21,0.9375,165.0,11.0,9327.0
2023-11-22,0.9250936329588015,247.0,20.0,9290.0
2023-11-23,0.901840490797546,147.0,16.0,9123.0
2023-11-24,0.9586206896551724,139.0,6.0,9744.0
2023-11-25,0.9010989010989011,82.0,9.0,11769.0
2023-11-26,0.8837209302325582,76.0,10.0,9102.0
